time,latitude,longitude,value
2024-01-01,34.625,19.125,150095820000000.0
2024-01-01,34.625,19.375,415642570000000.0
2024-01-01,34.625,19.625,757616700000000.0
2024-01-01,34.625,19.875,480104700000000.0
2024-01-01,34.625,20.125,566515500000000.0
2024-01-01,34.625,20.375,456483220000000.0
2024-01-01,34.625,20.625,861418040000000.0
2024-01-01,34.625,20.875,348566020000000.0
2024-01-01,34.625,21.125,1092846500000000.0
2024-01-01,34.625,21.375,1767888300000000.0
2024-01-01,34.625,21.625,1186864800000000.0
2024-01-01,34.625,21.875,850739200000000.0
2024-01-01,34.625,22.375,924762800000000.0
2024-01-01,34.625,22.625,2167013000000000.0
2024-01-01,34.625,22.875,1399154500000000.0
2024-01-01,34.625,23.125,700576700000000.0
2024-01-01,34.625,23.375,219898770000000.0
2024-01-01,34.625,23.625,1256312600000000.0
2024-01-01,34.625,23.875,2703460000000000.0
2024-01-01,34.625,24.125,1919943300000000.0
2024-01-01,34.625,24.375,671952200000000.0
2024-01-01,34.875,19.375,265782630000000.0
2024-01-01,34.875,19.625,902339600000000.0
2024-01-01,34.875,19.875,395057030000000.0
2024-01-01,34.875,20.125,1017049100000000.0
2024-01-01,34.875,20.375,1036944200000000.0
2024-01-01,34.875,20.625,1622775000000000.0
2024-01-01,34.875,20.875,1251900200000000.0
2024-01-01,34.875,21.125,1555829200000000.0
2024-01-01,34.875,21.375,1686798700000000.0
2024-01-01,34.875,21.625,1356169300000000.0
2024-01-01,34.875,21.875,1290458900000000.0
2024-01-01,34.875,22.125,138505620000000.0
2024-01-01,34.875,22.375,2416778400000000.0
2024-01-01,34.875,22.625,3476407500000000.0
2024-01-01,34.875,22.875,1805718500000000.0
2024-01-01,34.875,23.125,3691346000000000.0
2024-01-01,34.875,23.375,2046095200000000.0
2024-01-01,34.875,23.625,1135005600000000.0
2024-01-01,34.875,23.875,4710487000000000.0
2024-01-01,34.875,24.125,1180517000000000.0
2024-01-01,34.875,24.375,226857870000000.0
2024-01-01,34.875,24.625,648485640000000.0
2024-01-01,35.125,19.375,655081830000000.0
2024-01-01,35.125,19.625,1035332100000000.0
2024-01-01,35.125,19.875,834998550000000.0
2024-01-01,35.125,20.125,900590500000000.0
2024-01-01,35.125,20.375,1094273700000000.0
2024-01-01,35.125,20.625,1735675000000000.0
2024-01-01,35.125,20.875,1727914000000000.0
2024-01-01,35.125,21.125,827582750000000.0
2024-01-01,35.125,21.375,976482960000000.0
2024-01-01,35.125,21.625,320026070000000.0
2024-01-01,35.125,21.875,1079397200000000.0
2024-01-01,35.125,22.125,1596823000000000.0
2024-01-01,35.125,22.375,2635043200000000.0
2024-01-01,35.125,22.625,1763825800000000.0
2024-01-01,35.125,22.875,1182477000000000.0
2024-01-01,35.125,23.125,3847672800000000.0
2024-01-01,35.125,23.375,1020290000000000.0
2024-01-01,35.125,23.875,2756536300000000.0
2024-01-01,35.125,24.125,199814200000000.0
2024-01-01,35.125,24.375,209861820000000.0
2024-01-01,35.125,24.625,1108190800000000.0
2024-01-01,35.375,19.375,516832800000000.0
2024-01-01,35.375,19.625,851766200000000.0
2024-01-01,35.375,19.875,543245180000000.0
2024-01-01,35.375,20.125,1206167700000000.0
2024-01-01,35.375,20.375,1408589700000000.0
2024-01-01,35.375,20.625,1647759600000000.0
2024-01-01,35.375,20.875,565499800000000.0
2024-01-01,35.375,21.125,154229600000000.0
2024-01-01,35.375,21.375,539064300000000.0
2024-01-01,35.375,21.625,649294400000000.0
2024-01-01,35.375,21.875,1710023400000000.0
2024-01-01,35.375,22.125,2470673800000000.0
2024-01-01,35.375,22.375,2903478400000000.0
2024-01-01,35.375,22.625,1138374600000000.0
2024-01-01,35.375,22.875,437229700000000.0
2024-01-01,35.375,23.625,314011740000000.0
2024-01-01,35.375,23.875,629200400000000.0
2024-01-01,35.375,24.125,662136500000000.0
2024-01-01,35.375,24.375,1034443600000000.0
2024-01-01,35.375,24.625,595207440000000.0
2024-01-01,35.625,19.125,25081841000000.0
2024-01-01,35.625,19.375,909333900000000.0
2024-01-01,35.625,19.875,982971050000000.0
2024-01-01,35.625,20.125,903375700000000.0
2024-01-01,35.625,20.375,1411483000000000.0
2024-01-01,35.625,20.625,529814080000000.0
2024-01-01,35.625,20.875,9307969000000.0
2024-01-01,35.625,21.125,400918860000000.0
2024-01-01,35.625,21.375,466010160000000.0
2024-01-01,35.625,21.625,620856450000000.0
2024-01-01,35.625,21.875,1020466300000000.0
2024-01-01,35.625,22.125,1561097800000000.0
2024-01-01,35.625,22.375,3148757000000000.0
2024-01-01,35.625,22.625,223559960000000.0
2024-01-01,35.625,23.625,378184700000000.0
2024-01-01,35.625,24.125,649690840000000.0
2024-01-01,35.625,24.375,2697571000000000.0
2024-01-01,35.875,19.125,1051307100000000.0
2024-01-01,35.875,19.375,1169020000000000.0
2024-01-01,35.875,19.625,339674640000000.0
2024-01-01,35.875,19.875,1434821200000000.0
2024-01-01,35.875,20.125,1249459400000000.0
2024-01-01,35.875,20.375,1323302100000000.0
2024-01-01,35.875,20.625,476213760000000.0
2024-01-01,35.875,20.875,697263850000000.0
2024-01-01,35.875,21.125,922106200000000.0
2024-01-01,35.875,21.375,425675280000000.0
2024-01-01,35.875,21.625,3633204700000.0
2024-01-01,35.875,21.875,176388820000000.0
2024-01-01,35.875,22.125,2224712700000000.0
