time,latitude,longitude,value
2022-10-01,34.5,19.0,8.452844110658404e-09
2022-10-01,34.5,19.25,5.086388458372867e-09
2022-10-01,34.5,19.5,4.367552672863658e-09
2022-10-01,34.5,19.75,6.808336270819674e-09
2022-10-01,34.5,20.0,8.353148288858671e-09
2022-10-01,34.5,20.25,1.0311045771997678e-08
2022-10-01,34.5,20.5,7.681605932653541e-09
2022-10-01,34.5,20.75,9.142333321988476e-09
2022-10-01,34.5,21.0,4.889078934153166e-09
2022-10-01,34.5,21.25,4.007039216946725e-09
2022-10-01,34.5,21.5,2.247813298856534e-09
2022-10-01,34.5,21.75,3.4262310890995673e-09
2022-10-01,34.5,22.0,5.07283151198603e-09
2022-10-01,34.5,22.25,6.238505147061319e-09
2022-10-01,34.5,22.5,3.129272162155648e-09
2022-10-01,34.5,22.75,7.627364328117786e-09
2022-10-01,34.5,23.0,5.882175819832489e-09
2022-10-01,34.5,23.25,5.126677035577881e-09
2022-10-01,34.5,23.5,5.581046440856471e-09
2022-10-01,34.5,23.75,1.2592325463338226e-08
2022-10-01,34.5,24.0,1.055593581593288e-08
2022-10-01,34.5,24.25,1.0681347907734681e-08
2022-10-01,34.5,24.5,1.3122154649009298e-08
2022-10-01,34.5,24.75,2.116431195021125e-08
2022-10-01,34.5,25.0,1.746131667859806e-08
2022-10-01,34.5,25.25,2.1165489410004586e-08
2022-10-01,34.5,25.5,2.0375725287237083e-08
2022-10-01,34.5,25.75,1.0370294461539576e-08
2022-10-01,34.5,26.0,1.5461891687278333e-08
2022-10-01,34.5,26.25,9.855048050665681e-09
2022-10-01,34.5,26.5,6.192950097264017e-09
2022-10-01,34.5,26.75,6.079721524237518e-09
2022-10-01,34.5,27.0,7.650696186069226e-09
2022-10-01,34.5,27.25,6.884724664511656e-09
2022-10-01,34.5,27.5,6.818969124690533e-09
2022-10-01,34.5,27.75,4.354781008134894e-09
2022-10-01,34.5,28.0,8.498895056621148e-09
2022-10-01,34.5,28.25,8.954702877144847e-09
2022-10-01,34.75,19.0,1.0012701842108729e-08
2022-10-01,34.75,19.25,8.278215855639325e-09
2022-10-01,34.75,19.5,1.0138066504108442e-08
2022-10-01,34.75,19.75,1.0553403068555485e-08
2022-10-01,34.75,20.0,7.661894872161353e-09
2022-10-01,34.75,20.25,8.029986523356024e-09
2022-10-01,34.75,20.5,7.407951711102119e-09
2022-10-01,34.75,20.75,7.343900084223408e-09
2022-10-01,34.75,21.0,7.99271889435686e-09
2022-10-01,34.75,21.25,2.640698661728615e-09
2022-10-01,34.75,21.5,5.523097567353326e-09
2022-10-01,34.75,21.75,7.212893512087149e-09
2022-10-01,34.75,22.0,2e-09
2022-10-01,34.75,22.25,3.214382484332159e-09
2022-10-01,34.75,22.5,9.551033620581425e-09
2022-10-01,34.75,22.75,4.159478804093488e-09
2022-10-01,34.75,23.0,5.664529964145684e-09
2022-10-01,34.75,23.25,7.993709251414033e-09
2022-10-01,34.75,23.5,7.347192857060458e-09
2022-10-01,34.75,23.75,8.460567504313568e-09
2022-10-01,34.75,24.0,1.2030006261792578e-08
2022-10-01,34.75,24.25,1.5886757608055327e-08
